Base,Agent,An Investigator,A Scientist,A Journalist,A Conspiracy Theorist
Base,Agent,A Designer,An Artisan,A Tailor,An Architect
Base,Agent,A Twin,A Doppelganger,A Stand-In,An Impostor
Base,Agent,An Avenger,A Ghost,A Rival,A Vigilante
Base,Agent,A Caretaker,A Conservationist,A Gardener,A Curator
Base,Agent,A Villain,A Scoundrel,A Kingpin,A Tyrant
Base,Agent,A Visionary,An Inventor,A Prophet,A Painter
Base,Agent,A Beast,A Pet,A Shape-Shifter,A Hedonist
Base,Agent,A Misfit,A Genius,A Monster,A Demon
Base,Agent,A Heretic,A Black Sheep,A Witch,A Dissident
Base,Agent,An Artist,A Dancer,A Writer,A Musician
Base,Agent,A Guardian,A Bouncer,A Parent,An Officer
Base,Agent,An Outcast,An Alien,A Foreigner,A Punk
Base,Agent,A Fool,A Comedian,A Daredevil,A Fraud
Base,Agent,An Introvert,A Wanderer,A Grump,A Dreamer
Base,Agent,An Automaton,A Servant,A Puppet,A Machine
Base,Agent,A Student,A Bookworm,An Apprentice,An Amateur
Base,Agent,An Idol,A Superhuman,A God,A Model
Base,Agent,A Hunter,A Researcher,A Killer,A Collector
Base,Agent,A Companion,A Romantic Partner,A Roommate,A Secret Admirer
Base,Agent,A Bully,A Predator,A Criminal,A Profiteer
Base,Agent,An Explorer,A Diplomat,A Tourist,A Trailblazer
Base,Agent,A Leader,A Boss,A Guide,A Politician
Base,Agent,A Worker,A Master Craftsperson,A Courier,A Salesperson
Base,Agent,A Radical,A Warmonger,A Protestor,An Iconoclast
Base,Agent,An Aristocrat,A Philanthropist,A Magnate,A Celebrity
Base,Agent,An Addict,A Gambler,A Drunk,A Patient
Base,Agent,A Healer,A Peacekeeper,A Therapist,A Doctor
Base,Agent,An Actor,A Performer,An Understudy,A Scam Artist
Base,Agent,A Survivor,A Victim,A Retiree,A Veteran
Base,Agent,A Hero,A Mentor,A Martyr,A Rebel
Base,Agent,An Expert,A Child Prodigy,An Academic,A Virtuoso
Base,Agent,An Archivist,A Witness,A Librarian,An Archaeologist
Base,Agent,A Teacher,A Messiah,A hermit,A Holy Person
Base,Agent,An Enforcer,An Assassin,A Soldier,An Athlete
Base,Agent,A Merchant,A Miser,A Grifter,An Investor
Base,Engine,Wants To Control,Wants To Shirk Responsibility For,,
Base,Engine,Wants To Unravel The Mystery Of,Wants To Spread A Lie About,,
Base,Engine,Wants To Win A Bet For/With,Wants To Win (Or Win Over),,
Base,Engine,Wants To Save A Loved One With,Wants To Improve The Reputation Of,,
Base,Engine,Wants To Follow A Path Leading To,Wants To Restore Former Glory With The Help Of,,
Base,Engine,Wants To Create (Or Improve),Wants To Destroy,,
Base,Engine,Wants To Find Redemption In/For,Wants To Find A Way Back To,,
Base,Engine,Wants To Hurt (Or Damage),Wants To Heal (Or Fix),,
Base,Engine,Wants To End An Obligation To,Wants To Establish Loyalty Through/In,,
Base,Engine,Wants To End The Power Of,Wants To Gain The Power Of,,
Base,Engine,Wants To Hold On To,Wants To Let Go Of,,
Base,Engine,Wants To Enact A Secret Plan Revolving Around,Wants To Unmask The Conspiracy Of,,
Base,Engine,Wants To Stop Being Haunted By,Wants To Hide An Obsession With,,
Base,Engine,Wants To Upstage A Rival With/In,Wants To Commit A Crime With/Involving,,
Base,Engine,Wants To Protect,Wants To Satisfy An Unspoken Desire For,,
Base,Engine,Wants To End A Family Obligation To,Wants To Connect With Family Through,,
Base,Engine,Wants To Erase A Memory Of/With,Wants To Restore A Memory Of/With,,
Base,Engine,Wants To Steal (Or Steal From),Wants To Stop The Theft Of,,
Base,Engine,Wants To Gain Fame With/From,Wants To Gain Fortune With/From,,
Base,Engine,Wants To Help Solve The Problem Of,Wants To Steal A Victory From/With,,
Base,Engine,Wants To Liberate,Wants To Gain Freedom With/From,,
Base,Engine,Wants To Reveal The Dangers Of,Wants To Conceal The Dangers Of,,
Base,Engine,Wants To Betray (Or Betray Someone With),Wants To Deliver Justice With/For,,
Base,Engine,Wants To Obtain,Wants To Abandon,,
Base,Engine,Wants To Regain,Wants To Get Rid Of,,
Base,Engine,Wants To Find Hope In/For,Wants To Bring Despair To/With,,
Base,Engine,Wants To Destroy The World With,Wants To Destroy Someone's Dream With/For,,
Base,Engine,Wants To Defeat,Wants To Find Peace With/In/For,,
Base,Engine,Wants To Be Saved By,Wants To Save,,
Base,Engine,Wants To Rise To The Challenge Of,Wants To Reveal The Good in,,
Base,Engine,Wants To Draw Attention To,Wants To Achieve A Dream Involving,,
Base,Engine,Wants To Get Revenge With/On,Wants To End A Conflict With,,
Base,Engine,Wants To Save The World With/From,Wants To Save A Life With/From,,
Base,Engine,Wants To Expose The Secret Of,Wants To Bury The Secret Of,,
Base,Engine,Wants To Escape,Wants To Find,,
Base,Engine,Wants To Find Love In/With,Wants To Ease A Heartbreak With/Of,,
Base,Anchor,A Weapon,A Helmet,A Battleground,A War
Base,Anchor,A Keepsake,A House,A Basement,A Letter
